ID,User,Date,Tweet
1338243377461157894,shugckb9,2020-12-13 22:04:19,"@DWUhlfelderLaw That some bullshit , 1/2 of them don’t wear masks. 
Give their dose to the secret service"
1338243377461125123,Kyatic,2020-12-13 22:04:19,"Always amused whenever an American goes viral for criticising British food, because most of it would probably be an… https://t.co/BNF2pcmvrv"
1338243377460985856,taesfrij0les,2020-12-13 22:04:19,RT @peachiikoo: his duality is just uncanny https://t.co/lNNiierzoI
1338243377456791552,JindoriKai,2020-12-13 22:04:19,pretend like i said smth funny pls
1338243377452765185,Jen_Survivor,2020-12-13 22:04:19,Due to colour of their skin please try not to be afraid to speak out about abuse they did and doing.All abusers des… https://t.co/aEwOjnxNBt
1338243377448570880,otbghosts,2020-12-13 22:04:19,harry literally posted the same thing on instagram 2 hours ago but waited till louis tweeted to post it on twitter
1338243377448452096,YERlNATIONS,2020-12-13 22:04:19,@veIvettan RIGGED
1338243377440174083,MookDontMiss,2020-12-13 22:04:19,Trequan stick to blocking
1338243377440153608,Jess_StarVI,2020-12-13 22:04:19,It’s the Broadway lipgloss for me. My fav one too https://t.co/FXTelpAo1f
1338243377435996160,chillaxinchica,2020-12-13 22:04:19,"I’m not on here often because...social media, but looking at my timeline it seems some people have been having a ro… https://t.co/nq5mzw8l32"
1338243377435975681,SplentidDementd,2020-12-13 22:04:19,@thatlamekai Thank you! &lt;3
1338243377435795456,plssera,2020-12-13 22:04:19,why do they look at you like that
1338243377431769089,magnahilker,2020-12-13 22:04:19,"out of all the villains on twd i have to admit i think alpha has the most interesting backstory, terminus coming in second"
1338243377427574791,JoeArmstrong718,2020-12-13 22:04:19,@Ceesnation Sure looks or
1338243377423388675,UcheJosephMira3,2020-12-13 22:04:19,RT @nana_axx1: Drop your handles and retweet and follow everyone who likes and let’s follow you 🔥
1338243377423380484,omgwinnie__,2020-12-13 22:04:19,RT @Vibes__tee: I'm so private my own family barely know me
1338243377423237120,exojongdays,2020-12-13 22:04:19,test
1338243377419218944,SJ_TR909,2020-12-13 22:04:19,"RT @Deeum: Y'all know that ""Draw your OC/Fav wearing"" thing with that pink fluffy santa dress?

About That 👀 https://t.co/Cm9ICQyF5D"
1338243377419186177,PWalker39557861,2020-12-13 22:04:19,"RT @RashidaTlaib: They started a fire in a the middle of a public street, yet no police in riot gear to stop them. Imagine if they were #BL…"
1338243377415008268,Schrader_Adam,2020-12-13 22:04:19,"@ShayoniMitra Hi, I work for The Sun -- was hoping we could talk about the shooting at the church earlier! Can you send me a DM?"
1338243377410711554,STRIPPUHANIKA,2020-12-13 22:04:19,"RT @AllieAwesome415: What we asked for: Defund the police. 

What we got: Defunding of porn."
1338243377406464000,cosmicnewports,2020-12-13 22:04:19,@aleahistheworst It amazes me that no one tried to report him to h.r I wouldn’t be able to do it 🤦🏾‍♀️😅
1338243377402425347,tarineshaa,2020-12-13 22:04:19,"RT @realPhoebe_: God, when my lips no longer know what to ask for in prayer, please hear my heart."
1338243377398214656,mikestrubel,2020-12-13 22:04:19,@DeborahMeaden Last years mistletoe?
1338243377398157312,GainzGain,2020-12-13 22:04:19,Drop your handles and RETWEET let's follow all accounts now ASAP🎊💯🌟💃❤️💃🧠🌅
1338243377398091776,RobBatt80,2020-12-13 22:04:19,"Daniel Carlson with yet another perfect PAT.

The Raiders sure are lucky that the Vikings have such a secure kickin… https://t.co/Hm9kHV5sG2"
1338243377398075392,peachtiway,2020-12-13 22:04:19,@cizenniestudio @KiyomiStudioo done https://t.co/WQUGJj8aVJ
1338243377389850630,itz_sayso,2020-12-13 22:04:19,RT @iam__marci: Quit trying to prove a point to the media.
1338243377385574401,IndaboskiJ,2020-12-13 22:04:19,@the_cheroyale @TheMideAdigun @Dipo_Ol Aunty o https://t.co/jyXLBHGvDH
